wordlist,countlist,maxlike,totallike,avelike
oldiebutgoodie,1,4,4,4
skinnygirlsispoppintoo,1,4,4,4
butterfly,1,2,2,2
photography,1,2,2,2
arizona,16,101,438,27
butterflygarden,1,2,2,2
phoenix,24,51,344,14
pencils,1,15,15,15
thejoker,1,15,15,15
pens,1,15,15,15
fanart,1,15,15,15
batman,1,15,15,15
sketch,2,34,49,24
sketching,1,15,15,15
dccomics,1,15,15,15
brucetimm,1,15,15,15
micron,1,15,15,15
wip,1,15,15,15
tattoos,1,26,26,26
girlswithtattoos,1,26,26,26
salonlife,1,26,26,26
hairstylist,1,26,26,26
hairordye,1,26,26,26
entrepreneur,1,26,26,26
phx,6,26,93,15
follow,2,31,57,28
tattooed,1,26,26,26
tattooedandemployed,1,26,26,26
sparkscolor,1,26,26,26
vividcolor,1,26,26,26
womenwithtattoos,1,26,26,26
girlboss,1,26,26,26
colorist,1,26,26,26
btcpics,1,26,26,26
modernsalon,1,26,26,26
bossbitch,1,26,26,26
dtphx,7,51,173,24
behindthechair,1,26,26,26
happy,1,26,26,26
iworkweekends,1,7,7,7
djlife,1,7,7,7
visionphysiquefitness,1,10,10,10
hannys,1,10,10,10
yoga,3,19,47,15
fitfam,1,10,10,10
bathroomselfie,1,10,10,10
bestie,1,10,10,10
az,6,30,102,17
friends,2,22,32,16
ascetichouse,1,0,0,0
derbunker,1,0,0,0
downwardsrecords,1,0,0,0
cousintime,1,7,7,7
layover,1,7,7,7
aznothiking,1,0,0,0
howaboutnot,1,0,0,0
okromeo,1,0,0,0
dog,1,7,7,7
rescuedog,1,7,7,7
derp,1,7,7,7
mertzkrew,1,0,0,0
splashpad,1,0,0,0
takingit1day,1,16,16,16
gcu,1,16,16,16
matthewdellavedova,1,60,60,60
graphicdesign,1,60,60,60
delly,1,60,60,60
nbafinals,1,60,60,60
cavs,1,60,60,60
illustration,1,60,60,60
100happydays,1,1,1,1
lights,1,1,1,1
vortex,1,1,1,1
art,3,67,104,34
civicspacepark,1,1,1,1
night,1,1,1,1
depressed,1,9,9,9
selfharm,1,9,9,9
scars,1,9,9,9
survivor,1,9,9,9
stressed,1,9,9,9
nighttime,1,6,6,6
makestuff,1,6,6,6
bikerides,1,6,6,6
phxstreetart,1,4,4,4
graffiti,2,36,40,20
phxmurals,1,4,4,4
paintphx,1,4,4,4
edit,1,5,5,5
blueeyes,1,5,5,5
paleskin,1,5,5,5
hoodie,1,5,5,5
cas,1,5,5,5
kitty,1,5,5,5
comfy,1,5,5,5
np,1,30,30,30
bae,1,30,30,30
monthaversary,1,12,12,12
bestday,1,12,12,12
crescentballroom,4,12,34,8
bikeriding,1,12,12,12
lifeisgood,1,12,12,12
beer,3,12,25,8
goodvibes,1,12,12,12
growth,1,12,12,12
loverules,1,10,10,10
sundaysupperclub,1,10,10,10
futurewife,1,6,6,6
quip,1,6,6,6
artivism,1,6,6,6
trunkspace,1,2,2,2
phoenixaz,1,2,2,2
mrmuddandmrgold,1,2,2,2
noattachment,1,13,13,13
yogagivesbackchallenge,1,13,13,13
yogaismyhappyplace,1,13,13,13
onziegear,1,13,13,13
crowpose,1,13,13,13
yogapantsaddiction,1,13,13,13
outdooryoga,1,13,13,13
hangtime,1,13,13,13
corework,1,13,13,13
yogaanywhere,1,13,13,13
bakasana,1,13,13,13
invertyoself,1,13,13,13
doyourbest,1,13,13,13
armbalance,1,13,13,13
nofear,1,13,13,13
justbreathe,1,13,13,13
upsidedownaddict,1,13,13,13
nofilter,1,13,13,13
iloveonzie,1,13,13,13
saturdaynight,1,22,22,22
food,1,22,22,22
cityscape,1,22,22,22
downtownphoenix,4,29,84,21
fun,1,22,22,22
saturday,1,22,22,22
ladiesnight,1,22,22,22
sonsarethebest,1,8,8,8
rattlers,2,28,36,18
sports,1,8,8,8
afl,1,28,28,28
chyisthebest,1,2,2,2
champagnesluts,1,2,2,2
luchadores,1,1,1,1
wrestling,1,1,1,1
lucha,1,1,1,1
fight,1,1,1,1
cookiegenius,1,25,25,25
cookies,1,25,25,25
milk,1,25,25,25
80sparty,2,8,10,5
oneplexus,13,35,203,15
lovemyjob,1,8,8,8
speeddatingnight,1,20,20,20
girlsnight,1,20,20,20
gypsybat,1,20,20,20
love,2,35,53,26
gorgeous,2,25,43,21
burnthepages,1,22,22,22
sia,1,22,22,22
sorealistic,1,22,22,22
1000formsoffear,1,22,22,22
fire,1,22,22,22
anotherexcuseforhashtags,1,22,22,22
friendsfor14years,1,19,19,19
sandiego,1,19,19,19
datenight,3,52,93,31
usdlove,1,19,19,19
cuando,1,19,19,19
cibo,1,19,19,19
0week,1,19,19,19
gweniepoo,1,19,19,19
preceptorialpride,1,19,19,19
pizza,1,19,19,19
number3,1,6,6,6
dustinsupnext,1,6,6,6
soldout,1,6,6,6
repost,3,8,17,5
diamondbacks,2,74,125,62
baseballislife,1,74,74,74
pinballlife,1,10,10,10
thisguy,1,10,10,10
kats,1,10,10,10
fishtales,1,10,10,10
pinball,1,10,10,10
williams,1,10,10,10
trabajadesdecasa,2,19,38,19
training,2,19,38,19
coach,3,19,56,18
proposito,3,19,56,18
puravida,3,19,56,18
train,1,19,19,19
determination,1,19,19,19
team,2,19,32,16
clubpuravida,3,19,56,18
keepcalmandloveakiltgirl,1,29,29,29
kiltgirlsrock,1,29,29,29
kcco,1,29,29,29
myfriendsareprettierthanyours,1,29,29,29
tkgirls,1,29,29,29
kiltgirls,1,29,29,29
tiltedkiltdowntownphoenix,1,29,29,29
tiltedkilt,1,29,29,29
moneyonourmind,1,29,29,29
friendsforever,1,29,29,29
threeamigos,1,29,29,29
vacay,1,14,14,14
angelstrumpethouse,1,14,14,14
bossassbitch,1,14,14,14
friends4life,1,14,14,14
azdiamondbacks,3,52,93,31
2015,1,8,8,8
dbacks,7,37,117,16
dugout,1,8,8,8
videogamesymphony,1,5,5,5
replay,1,5,5,5
nature,1,18,18,18
paz,2,19,37,18
prosperidad,1,19,19,19
herbalife,1,19,19,19
lider,1,19,19,19
yupi,1,19,19,19
liderazgo,1,19,19,19
bathroom,1,22,22,22
solomanj,1,22,22,22
shot,1,22,22,22
nymets,2,22,41,20
chasefields,2,22,41,20
tshirt,1,19,19,19
feeling22,1,115,115,115
sistersister,1,115,115,115
plusacuz,1,115,115,115
downtown,3,24,46,15
burlesque,1,10,10,10
win,1,10,10,10
pyrrahsutra,1,10,10,10
weird,1,10,10,10
shakeit,1,10,10,10
summer,4,30,75,18
wet,1,30,30,30
iloveit,1,30,30,30
rain,2,39,69,34
rawskin,1,36,36,36
followforfollow,1,36,36,36
money,1,36,36,36
wonderful,1,36,36,36
firstfriday,5,42,132,26
follow4follow,2,36,67,33
goodweather,1,36,36,36
like4like,1,36,36,36
thumbsup,1,36,36,36
squad,2,36,53,26
likeforlike,1,36,36,36
gardening,1,12,12,12
garden,1,12,12,12
citygardening,1,12,12,12
flor,1,12,12,12
urbangardening,1,12,12,12
flowerchild,1,12,12,12
flores,1,12,12,12
fiori,1,12,12,12
ilovenature,1,12,12,12
fiore,1,12,12,12
flowers,2,21,33,16
gaming,2,31,48,24
life,2,31,38,19
lotsoffun,1,31,31,31
instagram,1,31,31,31
lotsofpeople,1,31,31,31
geek,1,31,31,31
videogames,1,31,31,31
100,1,31,31,31
instadaily,1,31,31,31
cosplay,5,31,115,23
followerlove,1,31,31,31
nerd,1,31,31,31
pc,1,31,31,31
anime,1,31,31,31
leagueoflegends,1,31,31,31
followme,1,31,31,31
gamer,1,31,31,31
thisbeast,1,24,24,24
originalboyfriend,1,24,24,24
origamiowl,2,23,31,15
bryantgumbel,1,8,8,8
💦,1,10,10,10
🌵,1,10,10,10
☀️,1,10,10,10
⚡️,1,10,10,10
firstfridays,2,22,34,17
grizfolk,1,12,12,12
tgif,1,12,12,12
yeahwecute,1,12,12,12
leadsinger,1,12,12,12
thenash,1,9,9,9
