wordlist,countlist,maxlike,totallike,avelike
huffpostgram,2,921,1628,814
puppystagram,2,921,1628,814
frenchie,2,921,1628,814
pupbox,2,921,1628,814
bullylifetv,2,921,1628,814
dailypuppy,2,921,1628,814
inspiredbypets,2,921,1628,814
puppiesforall,2,921,1628,814
loveabully,2,921,1628,814
dailyfrenchie,2,921,1628,814
puppyoftheday,2,921,1628,814
instafrenchie,2,921,1628,814
dogsandpals,2,921,1628,814
puppiesofinstagram,2,921,1628,814
howdoesthatwork,1,707,707,707
dogmeetsdesign,1,707,707,707
lucyandco,1,707,707,707
itstrue,1,707,707,707
animalsaddict,4,921,1864,466
bullyinstagram,4,921,1864,466
weeklyfluff,4,921,1864,466
yourdogstoday,4,921,1864,466
puppyofdayft,4,921,1864,466
bullyinstafeature,4,921,1864,466
dogcrushdaily,4,921,1864,466
dogscorner,4,921,1864,466
barkpack,4,921,1864,466
aplacetolovedogs,4,921,1864,466
dogsofficialdogs,4,921,1864,466
fluffypack,4,921,1864,466
