wordlist,countlist,maxlike,totallike,avelike
comment,2,10,13,6
dm,1,3,3,3
mexican,1,3,3,3
text,1,3,3,3
snapchat,1,3,3,3
ssbbw,1,3,3,3
tbh,1,3,3,3
single,1,3,3,3
biglips,1,3,3,3
kik,1,3,3,3
chubby,1,3,3,3
dt,1,3,3,3
kikme,1,3,3,3
tbf,1,3,3,3
puertorican,1,3,3,3
spamforspam,2,64,67,33
colombians,1,3,3,3
boys,1,3,3,3
snapme,1,3,3,3
guys,2,4,7,3
boredaf,1,3,3,3
followforfollow,2,64,67,33
followers,1,3,3,3
latina,1,3,3,3
freaks,1,3,3,3
hmu,1,3,3,3
bbw,1,3,3,3
likeforlike,1,3,3,3
goodnightpost,1,3,3,3
textme,1,3,3,3
lovethelifeyoulead,1,0,0,0
makeyourownfuture,1,0,0,0
thedeck,1,0,0,0
jalapenomargarita,1,0,0,0
changit,1,0,0,0
pdxcarpet,20,48,444,22
pdx,35,175,1029,29
firstclass,1,6,6,6
flying,2,7,13,6
travel,1,6,6,6
skyteam,1,6,6,6
aviationgeek,1,6,6,6
oregon,19,175,735,38
skyclub,1,6,6,6
delta,1,6,6,6
aviation,1,6,6,6
portland,21,175,796,37
brunch,1,5,5,5
qpoc,1,5,5,5
kirstenanddane,1,5,5,5
morelove,1,5,5,5
newlyweds,1,5,5,5
unconditionallove,1,5,5,5
lovebirds,1,5,5,5
hair,2,18,34,17
instagay,5,56,192,38
gay,5,56,192,38
gayboy,5,56,192,38
selfie,4,56,156,39
humidity,1,18,18,18
volume,1,18,18,18
heat,1,18,18,18
bighair,1,18,18,18
summertime,2,18,32,16
scruff,1,18,18,18
surreal,1,22,22,22
goodbyela,1,22,22,22
funny,2,3,4,2
hogwarts,3,6,10,3
food,2,138,141,70
chocolate,1,3,3,3
remuslupin,1,3,3,3
harrypotter,5,6,17,3
goodriddance,1,11,11,11
dramatic,1,11,11,11
black,1,11,11,11
for,1,11,11,11
pinchme,1,11,11,11
effect,1,11,11,11
toohottonight,1,7,7,7
selfiesunday,2,29,36,18
pets,2,8,15,7
zorro,1,7,7,7
heatiskillingme,1,7,7,7
cat,1,7,7,7
joetrohman,6,108,379,63
patrickstump,6,108,379,63
thankspete,6,108,379,63
brendonurie,6,108,379,63
bands,6,108,379,63
joshdun,6,108,379,63
aesthetic,6,108,379,63
tumblr,7,108,400,57
petewentz,6,108,379,63
gerardway,6,108,379,63
jeremydavis,6,108,379,63
ptv,6,108,379,63
sws,6,108,379,63
tayloryork,6,108,379,63
yelyahwilliams,6,108,379,63
joshuadun,6,108,379,63
falloutboy,6,108,379,63
mychemicalromance,6,108,379,63
tylerjoseph,6,108,379,63
dallonweekes,6,108,379,63
hayleywilliams,6,108,379,63
edit,6,108,379,63
music,6,108,379,63
raytoro,6,108,379,63
andyhurley,6,108,379,63
mikeyway,6,108,379,63
frankiero,6,108,379,63
panicatthedisco,6,108,379,63
twentyonepilots,6,108,379,63
daddysgottaeat,1,9,9,9
boomkid,1,9,9,9
usos,1,9,9,9
coronacalifornia,1,9,9,9
uso,1,9,9,9
caliboyinheart,1,9,9,9
pdxairport,3,30,46,15
vacation,3,13,30,10
wedemboyz,1,9,9,9
calilove,1,9,9,9
california,1,9,9,9
mifamilia,1,9,9,9
coronaca,1,9,9,9
familytime,1,9,9,9
urbandecay,1,16,16,16
nakedpalette2,1,16,16,16
morphegirl,1,16,16,16
gabytran,1,16,16,16
vegas_nay,1,16,16,16
wakeupandmakeup,1,16,16,16
anastasiabeverlyhills,1,16,16,16
toofaced,1,16,16,16
nyc,2,64,80,40
msvivianch,1,16,16,16
overheardinpdx,1,3,3,3
buffettcountry,1,3,3,3
cocktailsanddreams,1,3,3,3
lobsterfest,1,3,3,3
industrial,1,22,22,22
globalglam,1,22,22,22
whitewash,1,22,22,22
interiordesign,1,22,22,22
bohoglam,1,22,22,22
inspiration,1,22,22,22
shakeology,1,14,14,14
fitjourney,1,14,14,14
energy,1,14,14,14
fitness,2,64,78,39
resetbutton,1,14,14,14
youmatter,1,14,14,14
byebyebloat,1,14,14,14
superfoods,1,14,14,14
cleaneats,2,19,33,16
cleanse,1,14,14,14
momlife,1,14,14,14
icandohardthings,1,14,14,14
detox,1,14,14,14
bloating,1,14,14,14
glutenfree,2,23,37,18
newme,1,14,14,14
justdoit,1,14,14,14
loseweightwithoutworkingout,1,14,14,14
plateau,1,14,14,14
tummyprobs,1,14,14,14
sahm,1,14,14,14
clean,1,14,14,14
vegetarian,2,19,33,16
ultimatereset,1,14,14,14
pnwonderland,5,120,310,62
sunset,2,25,36,18
deadset,1,11,11,11
portlandoregon,5,175,233,46
fashionista,1,15,15,15
coolsocks,1,15,15,15
hadiday,1,15,15,15
onlyme,1,15,15,15
backtolife,1,8,8,8
redeye,2,15,23,11
dc,1,8,8,8
fleetweek,1,24,24,24
pnw,7,175,408,58
boating,1,24,24,24
funinthesun,1,24,24,24
tinyhouse,1,54,54,54
vscocam,3,120,252,84
indianbeach,3,120,252,84
oregonexplored,5,175,442,88
exploregon,5,175,442,88
tinytimeshare,1,54,54,54
oregoncoast,3,120,252,84
vsco,3,120,252,84
upperleftusa,4,175,427,106
timeshare,1,54,54,54
whatsup,1,29,29,29
ayyoselfietime,1,29,29,29
gottahaveit,1,14,14,14
summernights👤,1,14,14,14
pocketpages,2,51,62,31
scrapbooking,2,51,62,31
minibook,1,11,11,11
scrapbook,2,51,62,31
minialbum,1,11,11,11
photojournal,1,11,11,11
projectlife,2,51,62,31
hesmine,1,36,36,36
heart,1,36,36,36
life,4,36,108,27
love,7,56,180,25
gauges,1,36,36,36
cute,1,36,36,36
babe,2,36,53,26
quote,2,36,58,29
