wordlist,countlist,maxlike,totallike,avelike
lifelesson,2,17,25,12
sundaynightread,1,8,8,8
bedtimestory,2,17,25,12
7jun2015,1,8,8,8
dcherewecome,1,7,7,7
theyarealreadydrivingmecrazy,1,7,7,7
familyvacation,1,7,7,7
5daystogo,1,7,7,7
bownstakedc,1,7,7,7
ihopeweallsurvive,1,7,7,7
nowspinning,1,8,8,8
diversity,1,8,8,8
are,1,55,55,55
cute,1,55,55,55
we,1,55,55,55
soooo,1,55,55,55
softballswag,1,55,55,55
montana,1,20,20,20
bestie,1,20,20,20
wife,1,20,20,20
cavs,1,23,23,23
repostwhiz,1,23,23,23
stoneroad,1,8,8,8
mountain,1,8,8,8
likeamonkey,1,8,8,8
yellowstone,2,14,22,11
nationalpark,2,14,22,11
climb,1,8,8,8
stone,1,8,8,8
flyslc,1,26,26,26
ilovetoseethetemple,1,26,26,26
beutahful,1,26,26,26
hashtag,1,26,26,26
flyeasy,1,26,26,26
delta,3,69,119,39
lovehimlongtime,1,18,18,18
whoareyoutojudge,1,18,18,18
thehills,1,18,18,18
weekend,3,72,133,44
sundazed,1,18,18,18
beautiful,1,14,14,14
travel,4,132,226,56
wishlivinghere🌲🌲🌲,1,14,14,14
forest,1,14,14,14
river,1,14,14,14
withmom,1,14,14,14
view,5,261,790,158
bestsundayever,2,8,12,6
friendswhobecomefamily,1,4,4,4
champagnecampaigncontinues,1,4,4,4
savethechampagne,1,4,4,4
foodlife,1,16,16,16
iddba2015,1,16,16,16
creminelli,1,16,16,16
style,2,124,140,70
missthecleansky,1,9,9,9
missingmontana,1,9,9,9
hadfun,1,9,9,9
10hourdelay,1,9,9,9
badlungsnow,1,9,9,9
bored,2,12,19,9
tired,2,19,26,13
homebound,1,7,7,7
layover,1,7,7,7
top,1,124,124,124
makeup,2,124,167,83
jeans,1,124,124,124
eyes,1,124,124,124
hair,2,124,161,80
ootd,1,124,124,124
smile,4,124,193,48
flats,1,124,124,124
girl,3,124,247,82
happy,4,124,166,41
white,1,124,124,124
slc,18,261,1134,63
pictureoftheyear,1,8,8,8
sunday,2,24,32,16
familyandfriends,1,8,8,8
party,1,24,24,24
highschool,1,24,24,24
graduation,1,24,24,24
hero,1,11,11,11
festive,1,11,11,11
festival,1,11,11,11
selfie,4,43,75,18
utah,23,261,1506,65
tagsforlikes,2,25,36,18
healthy,1,11,11,11
friendsforever,1,11,11,11
divas,1,11,11,11
gaypride,9,80,219,24
mylife,1,11,11,11
sexy,2,11,20,10
gayman,1,11,11,11
photooftheday,4,38,100,25
saltlakecity,13,164,596,45
werking,1,9,9,9
snow,2,38,47,23
dallas,1,9,9,9
utahgram,3,52,87,29
clouds,8,261,758,94
storm,3,33,65,21
flying,3,132,170,56
southwestairlines,1,14,14,14
shoreline,1,10,10,10
8hourbikeride,1,10,10,10
usa,5,132,257,51
saltlake,4,132,195,48
travelling,1,132,132,132
yum,1,213,213,213
treatyourself,1,213,213,213
eatingfortheinsta,1,213,213,213
eeeeats,1,213,213,213
foodporn,1,213,213,213
touristinmyowncountry,1,72,72,72
ballandchen,2,72,141,70
wedding,1,72,72,72
lifeontheroad,1,72,72,72
hesgrowing,1,33,33,33
babyboy,1,33,33,33
myworld,1,33,33,33
sassyboy,1,33,33,33
ilovehim,1,33,33,33
mrattitude,1,33,33,33
9months,1,33,33,33
onceajaguaralwaysajaguar,1,59,59,59
wareagle,1,59,59,59
utahdotcom,1,21,21,21
riverfishing,1,21,21,21
rivers,1,21,21,21
visitutah,1,21,21,21
flyfish,1,21,21,21
fishing,1,21,21,21
angler,1,21,21,21
outdoorlife,1,21,21,21
thetugisthedrug,1,21,21,21
utahisrad,3,70,107,35
provoriver,1,21,21,21
fishutah,1,21,21,21
streams,1,21,21,21
outdoors,1,21,21,21
trout,1,21,21,21
leaders,1,37,37,37
business,1,37,37,37
entrepreneur,1,37,37,37
starbucks,1,37,37,37
grow,1,37,37,37
newzealand,1,37,37,37
your,1,37,37,37
sandy,1,37,37,37
hairskinandnails,1,37,37,37
canada,1,37,37,37
orem,1,37,37,37
austrailia,1,37,37,37
draper,1,37,37,37
work,1,37,37,37
provo,1,37,37,37
france,1,37,37,37
lipstick,1,37,37,37
black,1,37,37,37
success,2,37,53,26
longhair,1,37,37,37
women,1,37,37,37
dream,1,37,37,37
lilcousin,1,49,49,49
msmahirihcheaaaa,1,49,49,49
utfambam,1,49,49,49
mufasa,1,49,49,49
cryingrn,1,62,62,62
omfg,1,62,62,62
slcpride,4,80,213,53
dev,1,62,62,62
ily,1,62,62,62
pride2015,1,80,80,80
gays,1,80,80,80
straight,1,80,80,80
gayboys,1,80,80,80
siblings,1,28,28,28
walk,1,28,28,28
pacificheritageschools,1,16,16,16
giveback,1,16,16,16
volunteer,1,16,16,16
saltroads,1,16,16,16
community,1,16,16,16
love,5,81,157,31
followhim,1,25,25,25
followbackteam,1,25,25,25
following,1,25,25,25
follower,1,25,25,25
followher,1,25,25,25
follow4follow,1,25,25,25
follow,4,25,67,16
followback,1,25,25,25
me,2,36,61,30
tflers,1,25,25,25
followforfollow,1,25,25,25
follows,1,25,25,25
teamfollowback,1,25,25,25
followall,1,25,25,25
tagsforlikesapp,1,25,25,25
pleasefollow,1,25,25,25
cowabungabay,1,25,25,25
followalways,1,25,25,25
followme,3,33,76,25
f4f,1,25,25,25
latesaturdayread,1,17,17,17
6jun2015,1,17,17,17
sintimcmagic,1,5,5,5
nbridaz,1,5,5,5
cantsleep,1,5,5,5
grandpa,1,36,36,36
mom,1,36,36,36
grandma,1,36,36,36
uncle,1,36,36,36
aunt,1,36,36,36
itjustgotreal,1,73,73,73
finally,2,73,92,46
wedidit,1,73,73,73
2015done,1,73,73,73
huka,1,19,19,19
mojito,1,19,19,19
sisters,2,14,25,12
onlywhenimhungry🐖🐎😄💩,1,14,14,14
family,1,14,14,14
dorks,1,12,12,12
insanelyhappy,1,12,12,12
bff,1,12,12,12
thecrazythingswedo,1,12,12,12
thatsmile,1,12,12,12
ilovewhoiamwhenimwithyou,1,12,12,12
idgaf,1,12,12,12
picture,1,43,43,43
beauty,3,164,221,73
traveling,1,43,43,43
modeling,1,43,43,43
picturetime,2,43,63,31
saturday,1,43,43,43
bikinis,1,43,43,43
bikini,1,43,43,43
celfie,1,43,43,43
travelgram,1,43,43,43
model,2,43,63,31
photoshoot,2,43,63,31
slcairport,6,355,472,78
sky,5,261,695,139
rain,3,33,50,16
airport,5,99,187,37
afterthestorm,1,33,33,33
sunset,13,261,1071,82
cloud,3,70,121,40
tower,1,33,33,33
nofilter,4,33,72,18
skies,2,33,51,25
igersaviation,1,18,18,18
airplanes,1,18,18,18
aircraft,2,355,373,186
beforethestorm,1,18,18,18
jets,1,18,18,18
aviation,3,355,715,238
crj200,1,18,18,18
cloudporn,1,18,18,18
goingcrazy,1,126,126,126
