wordlist,countlist,maxlike,totallike,avelike
body,1,1154,1154,1154
motivation,1,1154,1154,1154
xtremotivation,1,1154,1154,1154
instamusclehot,1,1154,1154,1154
sos,1,1154,1154,1154
cutevboys,1,1154,1154,1154
asthetics,1,1154,1154,1154
artmeetsfashion,1,1154,1154,1154
sexy,1,1154,1154,1154
acrodave,1,1154,1154,1154
instafitguy,1,1154,1154,1154
muscleandhealth,1,1154,1154,1154
mensfashionpost,1,1154,1154,1154
instaboy,1,1154,1154,1154
tagsforlikes,1,1154,1154,1154
bestoftheday,1,1154,1154,1154
badboysofinsta,1,1154,1154,1154
davidezongoli,1,1154,1154,1154
muscle,1,1154,1154,1154
poledancer,1,1154,1154,1154
instafit,1,1154,1154,1154
ilikeguyswholift,1,1154,1154,1154
artist,2,1154,1167,583
fitness,3,1154,1308,436
milloygirz,1,414,414,414
softballdad,1,414,414,414
imjustserious,1,414,414,414
softball,1,414,414,414
photocredit,1,414,414,414
redmond,1,414,414,414
