wordlist,countlist,maxlike,totallike,avelike
heart,1,18,18,18
love,8,148,317,39
like,3,40,76,25
nature,3,148,187,62
lfl,1,18,18,18
effbeautystandards,1,18,18,18
universe,1,18,18,18
follow,1,18,18,18
siouxfalls,24,64,335,13
localphotogs,1,1,1,1
photography,2,1,2,1
oliviawalterphotography,1,1,1,1
tstphotography,1,1,1,1
starve,3,38,104,34
ana,5,38,144,28
americanhorrorstory,3,38,104,34
fat,3,38,104,34
mde,3,38,104,34
bvb,3,38,104,34
bmth,3,38,104,34
5secondsofsummer,3,38,104,34
skinny,3,38,104,34
help,3,38,104,34
sue,3,38,104,34
cut,3,38,104,34
ahs,3,38,104,34
atl,3,38,104,34
falloutboy,3,38,104,34
bringmethehorizon,3,38,104,34
cat,4,38,114,28
joker,1,36,36,36
5sos,3,38,104,34
easier,1,36,36,36
supernatural,3,38,104,34
fob,3,38,104,34
smile,3,40,94,31
alltimelow,3,38,104,34
greenday,3,38,104,34
fave,1,38,38,38
wade,1,38,38,38
panda,1,38,38,38
band,1,38,38,38
wadespandas,1,38,38,38
justdont,1,30,30,30
draw,1,34,34,34
doodledrag,1,34,34,34
art,6,34,146,24
getrad,1,34,34,34
doodle,1,34,34,34
nonsense,1,34,34,34
illustration,1,34,34,34
lila,2,58,79,39
annie,3,58,125,41
gymastics,1,2,2,2
powerandgrace,1,2,2,2
dtsf,12,64,278,23
peonies,1,17,17,17
apartmentgarden,1,17,17,17
dunkanddrive,1,14,14,14
lifehacks,1,14,14,14
retro2s,1,21,21,21
justlikeme,1,21,21,21
airport,1,21,21,21
twinning,1,21,21,21
myminime,1,21,21,21
cariboucoffee,1,21,21,21
coffeebreak,1,21,21,21
matchingoutfit,1,21,21,21
beautiful,5,87,164,32
giftsfromal,1,17,17,17
dontdie,1,17,17,17
orchids,1,17,17,17
cutie,1,10,10,10
meow,1,10,10,10
flowerpower,1,10,10,10
kitty,1,10,10,10
field,1,10,10,10
needtorelax,1,10,10,10
roughday,1,10,10,10
flowers,2,25,35,17
1984,1,6,6,6
vanhalen,1,6,6,6
vinyl,1,6,6,6
sorrynotsorry,1,7,7,7
sd,2,20,27,13
southdakota,11,64,162,14
nofilter,3,20,36,12
naturesbeauty,3,20,38,12
sf,2,20,27,13
clouds,2,87,107,53
pretty,1,20,20,20
fallspark,6,27,65,10
summer,6,87,148,24
drink,1,13,13,13
drunk,1,13,13,13
friends,2,13,19,9
friday,1,13,13,13
goodtimes,1,13,13,13
drank,1,13,13,13
shots,1,13,13,13
fun,3,18,32,10
fireball,1,13,13,13
weekend,1,13,13,13
cathedral,1,11,11,11
sfcathedral,1,11,11,11
astros2016,1,8,8,8
formerintern,1,8,8,8
pinnacleevents,1,8,8,8
firstdance,1,8,8,8
djchrishintz,1,8,8,8
pinnacleweddings,1,8,8,8
djlife,2,26,34,17
swanbomb2015,1,8,8,8
loveher,1,11,11,11
bae,1,11,11,11
cheekbones,1,11,11,11
hayleyatwell,1,11,11,11
jawline,1,11,11,11
herfaceisperf,1,11,11,11
hayleybaewell,1,11,11,11
happybirthday,1,5,5,5
picstitch,1,5,5,5
mychevys,1,5,5,5
selfbrero,1,5,5,5
lifeasastormchaser,1,1,1,1
stormdamage,1,1,1,1
mylove,1,9,9,9
tattoos,1,9,9,9
goodnight,1,9,9,9
boyfriend,2,9,17,8
hifromsd,5,7,24,4
weareheresf,1,6,6,6
fallsinlove,1,6,6,6
jw,1,87,87,87
fearful,1,87,87,87
hiking,1,87,87,87
rei1440project,1,87,87,87
ontheroad,1,87,87,87
natgeo,1,87,87,87
westfalia,1,87,87,87
thephotosociety,1,87,87,87
woods,1,87,87,87
weekendfun,1,87,87,87
travelingram,1,87,87,87
theoutbound,1,87,87,87
skylovers,1,87,87,87
americasbestidea,1,87,87,87
skywatchers,1,87,87,87
wanderlust,1,87,87,87
cumulonimbus,1,87,87,87
backpacking,1,87,87,87
camping,1,87,87,87
geocaching,1,87,87,87
minnstagramers,1,87,87,87
roadtrip,1,87,87,87
praire,1,87,87,87
storm,3,87,142,47
flow397,1,87,87,87
keepitwild,1,87,87,87
cabin,1,87,87,87
growinguptoofast,1,7,7,7
plh,1,7,7,7
dj,1,26,26,26
siouxfallsweddings,1,26,26,26
selfie,3,64,108,36
weddings,1,26,26,26
tiffanysepicbrideselfie,1,26,26,26
siouxfallsdjs,1,26,26,26
snookwedding,1,26,26,26
wedding,2,26,30,15
lifeisbeautiful,1,26,26,26
edmfamily,1,26,26,26
weddingdj,1,26,26,26
siouxfallsbestweddings,1,26,26,26
djs,1,26,26,26
weddingselfie,1,26,26,26
siouxfallsdj,1,26,26,26
bride,1,26,26,26
eegweddings,1,26,26,26
