wordlist,countlist,maxlike,totallike,avelike
sumospeed,1,7220,7220,7220
slammedenuff,1,7220,7220,7220
springfest2015,3,7220,7300,2433
springfest,5,7220,7577,1515
momentinusa,1,1223,1223,1223
14องศาเย,1,1223,1223,1223
modeling,1,211,211,211
projectdsg,1,211,211,211
prom,1,189,189,189
salem,1,189,189,189
twinning,1,189,189,189
bestnightever,1,189,189,189
prom2015,1,189,189,189
postworkout,1,137,137,137
pancake,1,137,137,137
carbsafterdark,1,137,137,137
pancakes,1,137,137,137
deliciousness,1,137,137,137
porncakes,1,137,137,137
mydietdoestsuck,1,137,137,137
peanutbutter,1,137,137,137
crazyrichards,1,137,137,137
trutein,1,137,137,137
iifym,1,137,137,137
flexibledieting,1,137,137,137
pancakeporn,1,137,137,137
roadtousa,1,118,118,118
wt,1,118,118,118
sleepytownusa,1,92,92,92
uwelcome,1,92,92,92
