wordlist,countlist,maxlike,totallike,avelike
soontobesissyinlaws,1,2,2,2
hellohennes,1,2,2,2
foodporn,1,35,35,35
food,1,35,35,35
instapic,1,35,35,35
instagood,4,80,175,43
teamnotlebronjames,1,35,35,35
nba,1,35,35,35
thefinals,1,35,35,35
instadaily,1,35,35,35
teen,1,34,34,34
cute,1,34,34,34
stayhigh,1,34,34,34
sfs,1,34,34,34
snapchat,2,216,250,125
marijuana,1,34,34,34
follow4follow,2,80,114,57
girl,1,34,34,34
weed,1,34,34,34
bodypic,1,34,34,34
snapchatgirls,1,34,34,34
goodvibes,1,34,34,34
instaweed,1,34,34,34
pvris,1,34,34,34
guy,1,34,34,34
snapchatguys,1,34,34,34
tealhairdontcare,1,7,7,7
modersalon,1,7,7,7
hairbyzacch,1,7,7,7
mybestfriendisbetterthanyours,1,7,7,7
curls,1,7,7,7
tealhair,1,7,7,7
behindthechair,1,7,7,7
michis,1,17,17,17
shrimpcocktail,1,17,17,17
swimming,1,17,17,17
socute,1,36,36,36
saycheese,1,36,36,36
summerlovin,1,11,11,11
sunkissed,1,11,11,11
soulsisters,1,11,11,11
eathealthy,1,45,45,45
eattherainbow,1,45,45,45
bountifulbasket,1,45,45,45
bountifulbaskets,1,45,45,45
backagain,1,17,17,17
kansas,5,53,132,26
salinahereicome,1,17,17,17
jwfashion,2,125,234,117
jw,2,125,234,117
poolday,1,26,26,26
bff,1,26,26,26
gotyoursix,1,2,2,2
americancapitalist,1,2,2,2
wrongsideofheaven,1,2,2,2
wrongsideofheavenandtherighteoussideofhell,1,2,2,2
fivefingerdeathpunch,1,2,2,2
waristheanswer,1,2,2,2
ffdp,1,2,2,2
wayofthefist,1,2,2,2
coco,3,12,33,11
dog,8,15,95,11
mutt,6,14,69,11
thathairthough,1,30,30,30
iloveyouinfinitely,1,30,30,30
babygirl,1,30,30,30
mygirlfriendisbetterthanyours,1,30,30,30
gay,1,30,30,30
tattooedandbullied,1,30,30,30
ohyeah,1,30,30,30
gayswithink,1,30,30,30
inkedgays,1,30,30,30
sexy,1,30,30,30
wildhair,1,30,30,30
love,1,30,30,30
lesbian,1,30,30,30
happiness,1,30,30,30
thatfacethough,1,30,30,30
devilchild,1,30,30,30
instagay,1,30,30,30
youfonky,1,30,30,30
fro,1,30,30,30
mygirl,1,30,30,30
lesbiancouple,1,30,30,30
tattooedcouple,1,30,30,30
imissyou,1,30,30,30
lesbians,1,30,30,30
kawaii,1,17,17,17
joshuadun,1,17,17,17
cte,1,17,17,17
bands,1,17,17,17
top,1,17,17,17
tylerjoseph,1,17,17,17
bluehair,1,17,17,17
band,2,20,37,18
punkrock,1,17,17,17
music,1,17,17,17
poppunk,1,17,17,17
tøp,1,17,17,17
skeletonclique,1,17,17,17
twentyonepilots,1,17,17,17
motivated,2,37,51,25
mobility,1,14,14,14
runner,3,37,78,26
mobilitywod,1,14,14,14
praisethelord,3,37,78,26
flexibility,1,14,14,14
justgettinstarted,3,37,78,26
effortequallsresults,3,37,78,26
lovinglife,3,37,78,26
liftheavy,3,37,78,26
determined,4,37,84,21
cfmasters,2,37,51,25
strength,1,14,14,14
crossfit,3,37,78,26
stronger,3,37,78,26
alwaysraisingthebar,3,37,78,26
fitness,4,80,146,36
jesusislord,3,37,78,26
becomingasuppleleopard,1,14,14,14
dodge,7,161,717,102
truck,1,3,3,3
boyswillbeboys,1,3,3,3
sunday,1,3,3,3
lovethem,1,3,3,3
mybabies,1,6,6,6
myworld,1,6,6,6
luckymama,1,6,6,6
family,1,6,6,6
myhubby,1,6,6,6
lifted,6,161,714,119
lightbar,6,161,714,119
ledlights,6,161,714,119
truckporn,6,161,714,119
cars,7,161,722,103
offroad,6,161,714,119
ford,6,161,714,119
mwcustoms,6,161,714,119
midwestcustoms,6,161,714,119
ledlightbars,6,161,714,119
trucks,6,161,714,119
gmc,6,161,714,119
diesel,6,161,714,119
chevy,6,161,714,119
alltrucksdaily,6,161,714,119
rollincoal,6,161,714,119
midwest,6,161,714,119
loveofmylife,1,14,14,14
dogsofinstagram,2,21,35,17
bullylove,1,14,14,14
instalike,1,14,14,14
bullylife,1,14,14,14
furbaby,1,14,14,14
pawesome,2,14,25,12
bestie,1,14,14,14
bullybreed,1,14,14,14
pittysmile,1,14,14,14
trueblue,1,14,14,14
muddypaws,1,14,14,14
scruffy2fluffy,1,14,14,14
pit,1,14,14,14
pitbull,1,14,14,14
dogs,1,14,14,14
notice,1,8,8,8
eachother,1,8,8,8
people,1,8,8,8
light,1,3,3,3
object,1,3,3,3
look,1,3,3,3
important,1,3,3,3
world,1,2,2,2
see,1,2,2,2
perspective,1,2,2,2
downtown,1,7,7,7
wichita,4,28,74,18
graffiti,1,7,7,7
totustuus2015,1,114,114,114
betransformed,1,114,114,114
redbottoms,1,47,47,47
blackpower,1,47,47,47
paulmitchell,1,3,3,3
nofilter,2,53,56,28
thecolor,1,3,3,3
dreamwavessalon,1,3,3,3
pregnancy,1,42,42,42
remodel,1,42,42,42
diy,1,42,42,42
nesting,1,42,42,42
truelove,1,11,11,11
supercute,1,11,11,11
cutenessoverload,1,11,11,11
cockerspaniel,1,11,11,11
cockersofinstagram,1,11,11,11
party,1,36,36,36
ksspecialolympics,1,36,36,36
specialolympics,1,36,36,36
kansasspecialolympics,1,36,36,36
ictcoffee,1,46,46,46
socality,1,46,46,46
vscocam,1,46,46,46
pourpeople,1,46,46,46
060615,1,46,46,46
coffeepeople,1,46,46,46
livefolk,1,46,46,46
spro,1,46,46,46
liveauthentic,1,46,46,46
espresso,1,46,46,46
vsco,1,46,46,46
coffeelove,1,46,46,46
home,1,22,22,22
adventure,1,22,22,22
adventureisoutthere,1,22,22,22
dirrty30,1,13,13,13
bdaycelebration,1,13,13,13
tahoetime,2,9,17,8
dialed,2,9,17,8
soundsawesome,1,13,13,13
summertime,1,13,13,13
thatsmyman,1,13,13,13
workingonmytan,1,13,13,13
sunsoutgunsout,1,13,13,13
lakelife,1,13,13,13
framboise,1,11,11,11
lambic,1,11,11,11
beer,1,11,11,11
summer,6,59,131,21
momandme,1,59,59,59
tanning,1,59,59,59
itshot,1,59,59,59
mygirls,1,9,9,9
friendsandfamily,1,9,9,9
likemotherlikedaughter,1,9,9,9
futboleverywhere,1,7,7,7
relax,1,7,7,7
win,1,7,7,7
winetasting,1,7,7,7
mexico,1,7,7,7
futbol,1,7,7,7
wine,1,7,7,7
thehouseatlanticcrew,1,13,13,13
gtavheists,2,27,40,20
gtavonline,2,27,40,20
xboxone,2,27,40,20
xbox,2,27,40,20
gtav,2,27,40,20
twitchtv,2,27,40,20
xboxlive,2,27,40,20
twitch,2,27,40,20
beagle,3,14,34,11
littledude,3,14,34,11
shredderelite,1,43,43,43
flashbackfriday,1,43,43,43
ethika,1,24,24,24
bellhelmets,1,24,24,24
taggerdesigns,1,24,24,24
rchracing,1,24,24,24
motolife,1,24,24,24
odi,1,24,24,24
sevenmx,1,24,24,24
suzukicycles,1,24,24,24
84,1,24,24,24
braaaapp,1,24,24,24
youngandreckless,1,24,24,24
style,1,24,24,24
oakley,1,24,24,24
bikelife,1,24,24,24
foxracing,1,24,24,24
gopro,1,24,24,24
deftfamily,1,24,24,24
dirtbikekidz,1,24,24,24
redheeler,1,21,21,21
healthyenergy,1,15,15,15
eating,1,15,15,15
energydrinks,1,15,15,15
gym,2,80,95,47
metablism,1,15,15,15
energy,1,15,15,15
37weeks,1,31,31,31
summerfun,1,31,31,31
redhead,1,3,3,3
husband,1,3,3,3
ironman,1,4,4,4
nails,1,4,4,4
ketchup,1,4,4,4
crescendo,1,20,20,20
lylaff,1,20,20,20
barisax,1,20,20,20
march,1,20,20,20
oboe,1,20,20,20
piccolo,1,20,20,20
flute,1,20,20,20
euphonium,1,20,20,20
bassclarinet,1,20,20,20
trombone,1,20,20,20
clarinet,1,20,20,20
trumpet,1,20,20,20
piano,1,20,20,20
marchingband,1,20,20,20
cornet,1,20,20,20
baritone,1,20,20,20
altosax,1,20,20,20
forte,1,20,20,20
tuba,1,20,20,20
percussion,1,20,20,20
saxophone,1,20,20,20
tenorsax,1,20,20,20
sisters,1,16,16,16
nationaldonutday,1,16,16,16
🍩,1,16,16,16
zl1camaro,1,15,15,15
zl1,1,15,15,15
batmobile,1,15,15,15
chevycamaro,1,15,15,15
1,1,77,77,77
floggingmolly,1,6,6,6
concert,1,6,6,6
goals,1,6,6,6
butfirstcoffee,1,19,19,19
scooterscoffee,1,19,19,19
redhair,1,39,39,39
lovedogs,1,39,39,39
orange,1,39,39,39
lovemylife,1,39,39,39
happymoment,1,39,39,39
russiangirl,1,39,39,39
healthysooners,1,3,3,3
urbanair,1,3,3,3
urbanairwichita,1,3,3,3
dad,1,28,28,28
vintagestore,1,28,28,28
oldshit,1,28,28,28
fathersday,1,28,28,28
madeinict,1,28,28,28
donuts,1,7,7,7
foodtruck,1,7,7,7
happynationaldonutday,1,7,7,7
brunette,1,216,216,216
lyrics,1,216,216,216
daisyshirt,1,216,216,216
mirrorpic,1,216,216,216
messyhair,1,216,216,216
longhairdontcare,1,216,216,216
guys,1,216,216,216
kik,1,216,216,216
girls,1,216,216,216
iknow,1,216,216,216
cannabis,1,216,216,216
thickgirls,1,216,216,216
teenager,1,216,216,216
highwaistedshorts,1,216,216,216
bigsean,1,216,216,216
inklife,1,16,16,16
addictionsinink,1,16,16,16
fkirons,1,16,16,16
wichitaart,1,16,16,16
wichitatattoos,1,16,16,16
kansastattoo,1,16,16,16
riverfest,1,16,16,16
icttattoos,1,16,16,16
wichitatattoo,1,16,16,16
kansastattoos,1,16,16,16
kansasart,1,16,16,16
strengthtraining,1,37,37,37
embracethepain,1,37,37,37
fitsnap,2,37,64,32
america,1,37,37,37
ironparadise,1,37,37,37
pumpingiron,1,37,37,37
reebok,1,37,37,37
crushinggoals,2,37,64,32
nationalrunningday,2,37,64,32
whitexbox,1,27,27,27
elevateyourcareer,1,45,45,45
cheesin,1,45,45,45
cessna,1,45,45,45
textronaviation,1,45,45,45
ttx,1,45,45,45
clouds,1,53,53,53
nature,1,53,53,53
sky,1,53,53,53
ks,1,53,53,53
sunset,1,53,53,53
runcarlosrun,1,53,53,53
night,1,53,53,53
nevernotrunning,1,53,53,53
therealthing,1,2,2,2
dietcoke,1,2,2,2
crazylady,1,2,2,2
biggirlcar,1,26,26,26
carsofinstagram,1,26,26,26
hyundai,1,26,26,26
newcar,1,26,26,26
sweetcorn,1,12,12,12
foodofinstagram,1,12,12,12
garlicbread,1,12,12,12
bbqchicken,1,12,12,12
dinner,1,12,12,12
applesauce,1,12,12,12
sweettea,1,12,12,12
reddiamond,1,12,12,12
ribeyes,1,5,5,5
rainbow,1,21,21,21
tbt,1,21,21,21
latergram,1,21,21,21
throwbackthursday,1,21,21,21
hermannstortoise,3,15,33,11
tortoisesofinstagram,3,15,33,11
tinytortoise,3,15,33,11
tortoise,3,15,33,11
motivation,1,80,80,80
followback,1,80,80,80
fitspo,1,80,80,80
workout,1,80,80,80
instahealth,1,80,80,80
cleaneating,1,80,80,80
healthychoices,1,80,80,80
determination,1,80,80,80
diet,1,80,80,80
bodybuilding,1,80,80,80
sunburn,1,80,80,80
cardio,1,80,80,80
lifestyle,1,80,80,80
fit,1,80,80,80
healthy,1,80,80,80
fitnessaddict,1,80,80,80
health,1,80,80,80
eatclean,1,80,80,80
sunburnremedies,1,80,80,80
getfit,1,80,80,80
photooftheday,1,80,80,80
rats,1,15,15,15
bettafish,1,15,15,15
parakeet,1,15,15,15
bordercollie,1,13,13,13
sammie,1,13,13,13
runwayshow,1,23,23,23
retrosummer,1,23,23,23
makeup,1,23,23,23
retrosummerrunwayshow,1,23,23,23
hair,1,23,23,23
efacademy,1,23,23,23
efa,1,23,23,23
ericfisher,1,23,23,23
ericfisheracademy,1,23,23,23
headandset,1,2,2,2
upgrade,1,2,2,2
shewillsayyes,1,2,2,2
colorless,1,2,2,2
diamondsareagirlsbestfriend,1,2,2,2
idealcut,1,2,2,2
ilovemyjob,1,2,2,2
tolkowsky,1,2,2,2
oneandonehalfcarat,1,2,2,2
round,1,2,2,2
ifnotiwill,1,2,2,2
betterthanstarbucks,1,8,8,8
thelionking,1,5,5,5
tarzan,1,5,5,5
disney,1,5,5,5
disneyclassic,1,5,5,5
waltdisney,1,5,5,5
30daysofdisney,1,5,5,5
congratulations,1,4,4,4
giftcard,1,4,4,4
referring,1,4,4,4
mkcosalon,1,4,4,4
wichitastylist,1,4,4,4
loyalty,1,4,4,4
thankyou,1,4,4,4
weappreciateyourreferrals,1,4,4,4
itisthebestcomplimentyoucangiveus,1,4,4,4
drawing,1,4,4,4
wichitasalon,1,4,4,4
chevroletcamaro,1,22,22,22
camaro,1,22,22,22
cowboypilot,1,22,22,22
discporn,1,48,48,48
disctherapy,1,48,48,48
discgolf,1,48,48,48
putterpants,1,48,48,48
practice,1,48,48,48
putting,1,48,48,48
warden,1,48,48,48
nevereverquit,1,48,48,48
p1x,1,48,48,48
teamsupremeflight,1,48,48,48
supremeflight,1,48,48,48
dynamicdiscs,1,48,48,48
p2,1,48,48,48
mcproaviar,1,48,48,48
innovadiscs,1,48,48,48
discgolfshoutouts,1,48,48,48
dged,1,48,48,48
discmaniac,1,48,48,48
2015doodahopen,1,48,48,48
discmania,1,48,48,48
reinventyourgame,1,48,48,48
bedynamic,1,48,48,48
letsgoback,1,34,34,34
hdr,1,34,34,34
memories,1,34,34,34
photovault,1,34,34,34
laugheveryday,1,34,34,34
brother,1,34,34,34
goodtimes,1,34,34,34
100happydays,1,34,34,34
cooperstown,1,34,34,34
contrast,1,34,34,34
theresnoplacelikehome,1,63,63,63
kansas2015,1,63,63,63
letsdothis,1,63,63,63
staystrong,1,16,16,16
life,1,16,16,16
hakunamatata,1,16,16,16
doyou,1,16,16,16
dontsettle,1,16,16,16
mybabyboy,1,0,0,0
gotservedby6yearold,1,0,0,0
techn9nespecialeffectstour2015,1,45,45,45
50,1,45,45,45
teeyag,1,4,4,4
wichitaskys,1,4,4,4
imhome,1,4,4,4
mylifemyadventures,1,4,4,4
brooksrunning,1,27,27,27
fitfam,1,27,27,27
brooksghost7,1,27,27,27
faster,1,27,27,27
swiftwick,1,27,27,27
youthgroup,1,10,10,10
impactwichita,1,10,10,10
church,1,10,10,10
colourpop,1,2,2,2
nyx,1,2,2,2
abh,1,2,2,2
nyxcosmetics,1,2,2,2
nars,1,2,2,2
katvond,1,2,2,2
anastasiabeverlyhills,1,2,2,2
sephora,1,2,2,2
toofaced,1,2,2,2
thisdoesnotmakemehappy,1,3,3,3
iphonephoto,1,3,3,3
nonsense,1,3,3,3
drseuss,1,3,3,3
ilikeweirdshit,1,3,3,3
crownuptown,1,5,5,5
hedpe,1,5,5,5
nomakeup,1,19,19,19
changeyourprospective,1,19,19,19
natural,1,19,19,19
beauty,1,19,19,19
bareskin,1,19,19,19
beyou,1,19,19,19
whocares,1,19,19,19
innerbeauty,1,19,19,19
wearyourskin,1,19,19,19
onassignment,1,16,16,16
travel,1,16,16,16
imflyyyyying,1,16,16,16
purple,1,18,18,18
backyard,1,18,18,18
flowers,1,18,18,18
kcfree,1,35,35,35
beepyeah,1,35,35,35
shinerbeer,1,14,14,14
ictdining,1,12,12,12
ictbeer,1,12,12,12
wichitaairport,1,17,17,17
plane,1,17,17,17
chamberict,1,17,17,17
flyict,1,17,17,17
repost,1,17,17,17
southwestair,1,17,17,17
itchangestoday,1,17,17,17
