wordlist,countlist,maxlike,totallike,avelike
bikinicompetitor,1,231,231,231
absonabs,1,231,231,231
trixiespixies,1,231,231,231
10daysout,1,231,231,231
contestprep,1,231,231,231
jrnats,1,231,231,231
onamission,1,231,231,231
2015jrnationals,1,231,231,231
demcuts,1,231,231,231
npcbikini,1,231,231,231
nightynighty,1,231,231,231
girlswithmuscle,1,231,231,231
aesthetics,2,231,280,140
potd,2,139,243,121
beautiful,3,139,360,120
girlpower,3,139,360,120
badchick,3,139,360,120
babes,3,139,360,120
beauty,3,139,360,120
prettygang,3,139,360,120
diva,3,139,360,120
bblu,3,139,360,120
hottie,3,139,360,120
igbaddies,3,139,360,120
igbellas_,3,139,360,120
women,3,139,360,120
badbitcheslinkup,3,139,360,120
tagsforlikes,3,139,360,120
badchicks,3,139,360,120
prettygirl,3,139,360,120
