wordlist,countlist,maxlike,totallike,avelike
abq,20,73,456,22
newmexico,19,180,865,45
albuquerque,13,180,750,57
purenm,10,71,281,28
summer,7,55,141,20
love,7,30,138,19
instadaily,7,30,86,12
instagood,7,22,78,11
sunset,6,73,230,38
purenewmexico,6,25,68,11
burque,6,47,169,28
ink,6,30,116,19
family,5,47,112,22
havingfun,5,9,31,6
505,4,37,96,24
beer,4,37,93,23
cats,4,405,789,197
art,4,24,60,15
watercolor,4,16,58,14
illustration,4,16,58,14
flowers,4,16,39,9
hikenm,4,16,38,9
igsouthwest,4,16,34,8
friends,4,93,195,48
happy,4,47,125,31
abqtopes,4,18,47,11
ufc,4,180,550,137
mma,4,180,550,137
niece,4,9,24,6
yoga,3,60,136,45
