wordlist,countlist,maxlike,totallike,avelike
alaska,47,128,1403,29
anchorage,29,79,662,22
skinnyraven,13,91,227,17
ttk,8,19,65,8
pride,7,33,95,13
ak,7,79,207,29
twilight12k,7,24,109,15
love,6,45,89,14
skinnymini,6,9,33,5
run,5,36,104,20
summer,5,79,172,34
mountains,4,53,173,43
selfie,4,28,69,17
moosestooth,4,53,117,29
beer,4,79,148,37
beautiful,4,50,115,28
12k,4,17,61,15
travel,4,128,324,81
dinner,3,5,13,4
cruise,3,73,97,32
alaskalove,3,32,88,29
sunshine,3,28,62,20
theheadandtheheart,3,79,136,45
prideweek,3,33,55,18
907,3,79,105,35
volkswagen,3,35,73,24
vw,3,35,73,24
goodtimes,3,79,140,46
fishing,3,43,88,29
yorkshireterrier,3,268,786,262
