wordlist,countlist,maxlike,totallike,avelike
atlanta,22,157,753,34
atl,15,327,906,60
repost,8,28,85,10
dj,7,34,158,22
music,6,34,64,10
gay,5,25,52,10
lgbt,5,25,52,10
love,5,144,211,42
summer,5,157,357,71
atlnightlife,5,35,105,21
agp2015,5,153,410,82
photography,4,27,76,19
instagood,4,101,129,32
mainevent,4,4,7,1
philipsarena,4,4,7,1
themainevent,4,4,7,1
bulldogsbar,4,11,27,6
bisexual,4,11,27,6
lgbtq,4,11,27,6
bulldogs,4,11,27,6
queer,4,11,27,6
lesbian,4,11,27,6
miami,4,157,241,60
grind,4,23,70,17
workin,4,23,70,17
hustle,4,23,70,17
newyork,4,157,363,90
friends,4,144,190,47
downtown,4,27,92,23
model,4,2427,2539,634
