wordlist,countlist,maxlike,totallike,avelike
billings,18,70,368,20
montana,16,45,240,15
montanawed,11,14,82,7
wedding,11,18,102,9
events,10,18,87,8
weddingdecor,7,15,67,9
montanabride,6,12,41,6
love,5,319,676,135
eventdesign,5,14,50,10
eventdecor,5,10,34,6
nonprofit,5,10,29,5
hope,5,54,159,31
countrywedding,5,9,31,6
rusticwedding,5,9,29,5
life,5,38,148,29
beautiful,5,319,698,139
everycupcounts,5,63,182,36
backdrop,4,11,29,7
event,4,8,19,4
gala,4,10,26,6
billingsmt,4,37,84,21
decorations,4,15,35,8
farmstyle,4,15,39,9
offtheleaf,4,63,159,39
montanamoment,3,13,34,11
smile,3,319,641,213
birthday,3,29,53,17
photographer,3,26,57,19
paperflowers,3,14,35,11
uplighting,3,14,35,11
