wordlist,countlist,maxlike,totallike,avelike
follow,9,189,292,32
gardendale,9,20,112,12
supernatural,8,45,238,29
amazing_cars,8,20,103,12
wefinance,8,20,103,12
bestdeals,8,20,103,12
auto,8,20,103,12
igers,8,20,103,12
autotrend,8,20,103,12
instagrambham,8,20,103,12
motortrend,8,20,103,12
exoticcars,8,20,103,12
facebookus,8,20,103,12
worldclassfamily,8,20,103,12
instrack,8,20,103,12
worldclassmotors,8,20,103,12
like,8,20,103,12
bestprices,8,20,103,12
exotic_cars,8,20,103,12
happycustomers,8,20,103,12
cardealership,8,20,103,12
bestdealership,8,20,103,12
instacool,8,20,103,12
gardendaleal,8,20,103,12
alabama,8,20,103,12
bestcars,8,20,103,12
buyherepayhere,8,20,103,12
followme,8,20,103,12
jensenackles,6,35,176,29
spn,6,45,180,30
