wordlist,countlist,maxlike,totallike,avelike
boise,48,291,1762,36
thisisboise,27,117,759,28
idaho,26,538,1141,43
idahome,15,60,421,28
bestself,9,222,517,57
fitness,8,122,436,54
vscocam,8,117,347,43
bodybuildingcom,8,222,619,77
bfe2015,7,222,544,77
summer,7,111,214,30
vsco,7,117,325,46
upperleftusa,7,150,492,70
sunset,7,60,245,35
knittingfactory,7,43,145,20
tmr,6,11,33,5
themazerunner,6,11,33,5
thescorchtrials,6,11,33,5
tst,6,11,33,5
idahodaily,6,52,249,41
liveauthentic,6,52,237,39
idahoexplored,6,52,205,34
dogsofinstagram,6,52,203,33
visitboise,6,34,119,19
boisenoise,6,66,226,37
girlswholift,6,122,371,61
theheliosequence,6,13,41,6
tdc,5,8,22,4
pnw,5,52,215,43
neverstopexploring,5,52,215,43
ig_idaho,5,150,377,75
