wordlist,countlist,maxlike,totallike,avelike
boston,67,131,1517,22
shopbypao,15,12,131,8
kevinhart,12,33,94,7
amiskincare,9,9,72,8
makeoversbyami,9,9,72,8
amithailand,9,9,72,8
whatnow,6,33,95,15
igersboston,6,470,1006,167
fairytwinskincare,6,12,59,9
nofilter,5,36,94,18
whatnowtour,5,6,16,3
friends,5,43,101,20
bostonnightlife,5,79,194,38
latergram,5,514,605,121
fashion,5,131,249,49
sunset,4,36,73,18
tdgarden,4,33,46,11
instagood,4,92,169,42
ma,4,23,58,14
love,4,18,53,13
party,4,37,91,22
tbt,4,103,163,40
scenic,3,36,68,22
f4f,3,131,222,74
follow4follow,3,131,222,74
brighton,3,36,68,22
foodporn,3,92,121,40
summer,3,11,22,7
unionoysterhouse,3,23,47,15
vscocam,3,39,86,28
