wordlist,countlist,maxlike,totallike,avelike
ctcityfest,4,31,72,18
love,4,34,87,21
instagood,4,79,188,47
sunset,4,79,154,38
fashion,4,34,68,17
traveling,3,79,136,45
cute,3,34,83,27
girl,3,19,23,7
nofilter,3,79,142,47
bridgeport,3,31,57,19
dress,3,3,4,1
mysoul,2,11,12,6
namaste,2,79,130,65
businessman,2,79,130,65
tourist,2,79,130,65
business,2,79,130,65
mompreneur,2,79,130,65
instalove,2,79,130,65
entrepreneur,2,79,130,65
instatravel,2,79,130,65
poolside,2,79,130,65
instadaily,2,79,130,65
blackgirlsrock,2,79,130,65
tourism,2,79,130,65
sipstea,2,79,130,65
instatourist,2,79,130,65
travelporn,2,79,130,65
businesswoman,2,79,130,65
travel,2,79,130,65
vacation,2,79,130,65
