wordlist,countlist,maxlike,totallike,avelike
repost,30,19,248,8
vermont,26,264,859,33
btv,15,67,318,21
vt,15,264,622,41
burlington,9,264,423,47
love,9,272,717,79
simplysantafe,8,18,76,9
nofilter,8,68,238,29
sunset,7,44,144,20
beauty,7,44,161,23
nature,7,44,170,24
music,7,272,739,105
higherground,7,44,129,18
ilovermont,6,25,82,13
purenm,6,17,65,10
802,6,80,221,36
purityring,6,101,176,29
summer,5,80,147,29
cute,5,129,502,100
puppy,5,264,718,143
newmexico,5,17,56,11
travelnm,5,13,48,9
santafe,5,12,48,9
life,5,60,153,30
buzzfeedanimals,4,129,454,113
dog_features,4,264,630,157
ilovemydog,4,264,630,157
f4f,4,264,630,157
igersabq,4,17,40,10
albuquerque,4,17,45,11
