wordlist,countlist,maxlike,totallike,avelike
charlestonwv,8,68,220,27
wv,8,66,173,21
cwv,7,68,155,22
symphonysunday2015,6,26,87,14
westvirginia,5,68,192,38
gotowv,5,15,46,9
wv_igers,5,31,107,21
love,4,66,110,27
tbt,4,58,150,37
charleston,4,27,86,21
beautiful,3,26,44,14
sunset,3,31,66,22
sleepy,3,6,16,5
cgmc,3,9,21,7
instagay,3,9,24,8
wvrainbowpride,3,9,24,8
pathswetravel,3,9,24,8
charlestongaymenschorale,3,9,24,8
dawes,2,7,10,5
capitol,2,3,4,2
austin,2,3,4,2
texas,2,3,4,2
me,2,26,34,17
sundayfunday,2,10,18,9
symphonysunday,2,38,59,29
wvsymphony,2,26,47,23
gabissugarlump,2,7,10,5
thepenningtonway,2,7,10,5
friends,2,26,32,16
cute,2,66,92,46
