wordlist,countlist,maxlike,totallike,avelike
charlotte,9,127,341,37
photooftheday,7,127,504,72
instagood,6,127,379,63
love,6,86,307,51
usa,5,63,241,48
coyotejoes,5,61,122,24
fitness,4,63,121,30
beautiful,4,127,304,76
picoftheday,4,127,263,65
instadaily,4,127,316,79
lovesomeme,3,19,43,14
uhop,3,39,60,20
airport,3,127,186,62
summer,3,127,227,75
northcarolina,3,61,117,39
instalike,3,127,173,57
isleofpalms,3,133,248,82
ocean,3,133,248,82
olddominion,3,26,73,24
vacation,2,37,40,20
midnight,2,21,27,13
igers,2,37,58,29
baileyfieryreturn,2,13,21,10
god,2,458,514,257
cute,2,78,155,77
art,2,77,99,49
photo,2,77,99,49
pic,2,77,99,49
sexy,2,77,140,70
model,2,78,155,77
