wordlist,countlist,maxlike,totallike,avelike
wyoming,39,42,475,12
cheyenne,31,33,275,8
wyowritersconference2015,15,11,56,3
love,11,58,285,25
graduation,9,178,676,75
family,9,137,253,28
historicplainshotel,9,6,27,3
travel,7,50,143,20
wanderlust,7,58,226,32
instadaily,6,58,249,41
roadtrip,6,21,77,12
downtowncheyenne,6,6,18,3
explore,5,21,74,14
foreverwest,5,415,480,96
vacation,5,21,75,15
megandeangelis,5,33,116,23
megedits,5,33,116,23
dreambig,5,11,28,5
adventure,5,58,179,35
selfie,4,46,139,34
nature,4,51,94,23
lovehim,4,45,78,19
cute,4,18,47,11
smiles,4,31,75,18
art,4,51,97,24
blessed,4,38,71,17
prepdaysuccess,4,5,14,3
21dfx,4,5,14,3
getoutside,4,58,170,42
julepmaven,4,7,24,6
