wordlist,countlist,maxlike,totallike,avelike
chicago,59,269,1781,30
picoftheday,18,35,387,21
art,17,29,334,19
instagood,17,38,367,21
beautiful,15,29,307,20
picture,15,29,307,20
streetophotography,15,29,307,20
streetart,15,29,307,20
color,15,29,307,20
photo,15,29,307,20
pic,15,29,307,20
focus,15,29,307,20
photos,15,29,307,20
moment,15,29,307,20
photogram,15,29,307,20
composition,15,29,307,20
photography,15,29,307,20
exposure,15,29,307,20
capture,15,29,307,20
photodaily,15,29,307,20
photographer,15,29,307,20
all_shots,15,29,307,20
pics,15,29,307,20
snapshot,15,29,307,20
pictures,15,29,307,20
photoshoot,15,29,307,20
photooftheday,15,29,307,20
selfie,7,33,134,19
chitown,6,97,180,30
wickedparty,6,100,209,34
