wordlist,countlist,maxlike,totallike,avelike
anime,65,44,1787,27
emo,64,44,1769,27
goth,63,44,1751,27
gay,63,44,1751,27
bi,63,44,1751,27
ginger,63,44,1751,27
lgbt,63,44,1751,27
chubbygirl,63,44,1751,27
gingerhair,63,44,1751,27
chubby,63,44,1751,27
pansexual,63,44,1751,27
nerd,63,44,1751,27
depression,63,44,1751,27
anxiety,63,44,1751,27
greeneyes,63,44,1751,27
asexual,63,44,1751,27
punk,63,44,1751,27
lesbian,63,44,1751,27
depressed,63,44,1751,27
green,63,44,1751,27
dork,63,44,1751,27
pretty,63,44,1751,27
socialanxiety,62,44,1725,27
kittenplay,24,44,693,28
love,8,27,125,15
swag,6,27,104,17
happy,6,27,116,19
beautiful,6,27,129,21
summer,5,27,92,18
proudmum,5,46,181,36
