wordlist,countlist,maxlike,totallike,avelike
columbus,5,154,253,50
614,4,154,207,51
x3edo,3,63,154,51
pro,3,63,154,51
xboxone,3,63,154,51
me,3,63,154,51
game,3,63,154,51
have,3,63,154,51
him,3,63,154,51
fly,3,63,154,51
ok,3,63,154,51
gamers,3,63,154,51
eng,3,63,154,51
youtube,3,63,154,51
xbox,3,63,154,51
games,3,63,154,51
gamer,3,63,154,51
cam,3,63,154,51
fun,3,63,154,51
love,3,14,22,7
flowers,3,14,23,7
ohio,3,154,205,68
bethereorbeme,3,15,40,13
bsquarethedj,3,15,40,13
car,2,154,187,93
gay,2,14,21,10
art,2,120,225,112
asseenincolumbus,2,23,36,18
facts,2,3,5,2
740,2,18,30,15
