wordlist,countlist,maxlike,totallike,avelike
denver,38,56,592,15
colorado,23,50,374,16
phase3,8,27,133,16
slim4life,8,27,133,16
wellness,8,27,133,16
milehighmetabolism,8,27,133,16
trulycommitted,8,27,133,16
justdoit,8,27,133,16
commitment,8,27,133,16
health,8,27,133,16
coloradodiet,8,27,133,16
obesity,8,27,133,16
gettingfit,8,27,133,16
stateofslim,8,27,133,16
stateofmari,8,27,133,16
weightloss,8,27,133,16
art,6,44,151,25
photooftheday,6,208,354,59
cityofdenver,5,68,138,27
sketchbook,5,44,138,27
pen,5,44,138,27
u2,5,25,62,12
beautiful,5,44,150,30
instagood,5,208,329,65
lightning,5,14,44,8
downtowndenver,4,39,104,26
love,4,22,42,10
denvertography,4,68,147,36
selfie,4,65,122,30
u2ietour,4,13,37,9
