wordlist,countlist,maxlike,totallike,avelike
desmoines,12,117,365,30
iowa,8,117,254,31
love,7,58,220,31
likeforlikes,5,58,185,37
trocolikes,5,58,185,37
likeforlikealways,5,58,185,37
selfie,5,58,185,37
recentforrece6nt,5,58,185,37
likeforfollow,5,58,185,37
likesforlikes,5,58,185,37
recent4recent,5,58,185,37
likes,5,58,185,37
follow4follow,5,58,185,37
follow,5,58,185,37
followback,5,58,185,37
instagood,5,58,185,37
like4follow,5,58,185,37
likeforlikeback,5,58,185,37
r4r,5,58,185,37
like4like,5,58,185,37
spamforspam,5,58,185,37
likes4likes,5,58,185,37
followforfollow,5,58,185,37
likeback,5,58,185,37
like4likes,5,58,185,37
tagsforlikes,5,58,185,37
likeforlike,5,58,185,37
f4f,5,58,185,37
recentforrecent,5,58,185,37
spam4spam,5,58,185,37
