wordlist,countlist,maxlike,totallike,avelike
fargo,24,47,272,11
love,15,35,200,13
ribfest,11,47,172,15
redhawks,8,28,70,8
latergram,7,7,32,4
cool,7,7,32,4
wow,7,7,32,4
ffa,7,56,184,26
tylerjoseph,6,25,78,13
tøp,6,25,78,13
summer,6,18,47,7
baseball,6,28,50,8
fmredhawks,6,36,56,9
onedirection,6,6,28,4
twentyonepilots,5,25,60,12
art,5,22,52,10
photography,5,20,49,9
nationalffa,5,19,73,14
ndffa,5,19,73,14
rollaffa,5,19,73,14
blurryface,4,18,33,8
joshdun,4,25,40,10
win,4,6,20,5
fireworks,4,6,20,5
crackle,4,6,20,5
game,4,6,20,5
boom,4,6,20,5
night,4,6,20,5
fun,4,6,20,5
liveauthentic,4,47,157,39
