wordlist,countlist,maxlike,totallike,avelike
hawaii,57,147,1679,29
waikiki,15,69,454,30
oahu,12,65,277,23
beach,9,65,321,35
luckywelivehawaii,9,91,466,51
honolulu,9,65,242,26
aloha,8,87,319,39
ハワイ,7,1305,2609,372
vacation,6,216,284,47
sea,5,65,208,41
happy,5,48,90,18
808,5,83,192,38
noobentertainment,4,12,12,3
wadeandlee,4,12,12,3
ocean,4,65,136,34
fit,4,77,142,35
summer,4,48,105,26
tokyo,4,38,57,14
japan,4,31,50,12
hilife,4,83,202,50
sunset,4,65,154,38
knunites,3,56,65,21
kathniel,3,56,65,21
kathrynbernardo,3,56,65,21
danielpadilla,3,56,65,21
sunny,3,112,142,47
beachday,3,65,131,43
hawaiian,3,83,92,30
luckywelivehi,3,147,165,55
honolulupride,3,21,21,7
