wordlist,countlist,maxlike,totallike,avelike
plussizefashion,56,138,3282,58
celebratemysize,50,138,3024,60
plussizemodel,50,138,3024,60
plussizedivas,50,138,3024,60
fashionista,47,138,2900,61
instafashion,47,138,2900,61
fabulous,42,138,2655,63
fashion,41,138,2642,64
cns2,41,138,2642,64
fullfigured,41,138,2642,64
lifethrowcurves,41,138,2642,64
plussizelife,41,138,2642,64
bbwstyle,41,138,2642,64
bigbeautifulblackgirls,41,138,2642,64
respectmycurves,41,138,2642,64
boldncurvy,41,138,2642,64
fullfiguredmodels,41,138,2642,64
fashionblogger,41,138,2642,64
curvyfashion,41,138,2642,64
curvyladiespromo,41,138,2642,64
dopecurvyladyalert,41,138,2642,64
thickgirlzrock,41,138,2642,64
outfitoftheday,41,138,2642,64
plussizebeauties,41,138,2642,64
bbw,41,138,2642,64
psblogger,41,138,2642,64
boldcurvyfashionista,41,138,2642,64
fullofcurves,41,138,2642,64
curvesfordays,41,138,2642,64
curvygirl,37,138,2437,65
