wordlist,countlist,maxlike,totallike,avelike
nintendo,7,35,164,23
starkleavesclues,6,3,9,1
shadowhunters,6,35,168,28
gamecube,6,27,129,21
ww,6,27,129,21
game,6,27,129,21
gc,6,27,129,21
zeldaww,6,27,129,21
zelda,6,27,129,21
gcn,6,27,129,21
games,6,27,129,21
tww,6,27,129,21
windwaker,6,27,129,21
clowninchronicles,5,3,8,1
basedonatruestory,5,3,7,1
zeldatricks,5,27,111,22
timesavers,5,27,111,22
tricks,5,27,111,22
peppersolvespluzzles,4,3,6,1
clace,4,35,114,28
unkstattoos,4,45,119,29
dekuleaf,4,27,92,23
earthtemple,4,27,92,23
leaf,4,27,92,23
bannerbuildsbeats,3,2,3,1
goodnight,3,29,46,15
fitbitcharge,3,35,78,26
water,3,35,78,26
weightlossjourney,3,35,78,26
fitbit,3,35,78,26
