wordlist,countlist,maxlike,totallike,avelike
beauty,11,16,140,12
arianagrande,11,16,140,12
arianagrandequote,11,16,140,12
grande,11,16,140,12
mileycyrus,11,16,140,12
whytry,11,16,140,12
moonlightprincess,11,16,140,12
lovatics,11,16,140,12
myeverything,11,16,140,12
dreamer,11,16,140,12
byhrb,11,16,140,12
bestmistake,11,16,140,12
moonlight,11,16,140,12
bemybb,11,16,140,12
directioner,11,16,140,12
arianator,11,16,140,12
butera,11,16,140,12
zaynmalik,11,16,140,12
virginhair,7,48,121,17
flipshair,5,48,102,20
peruvianhair,5,48,74,14
bundles,5,37,69,13
mongolianhair,5,37,69,13
love,4,342,436,109
weaves,4,37,60,15
hairsale,4,10,32,8
sewin,3,48,94,31
quickflips,3,48,62,20
blurredhighlights,3,3,5,1
olaplex,3,3,5,1
