wordlist,countlist,maxlike,totallike,avelike
igersjax,22,641,1485,67
jacksonville,15,151,484,32
family,12,22,121,10
ilovejax,12,641,847,70
dtjax,11,641,845,76
florida,8,29,147,18
100realclothing,8,18,61,7
art,6,25,96,16
staystrong,5,25,75,15
bands,5,25,75,15
themedevider,5,25,75,15
followforfollow,5,25,75,15
theme,5,25,75,15
likeforlike,5,25,75,15
spamforspam,5,25,75,15
onlyinduval,5,22,71,14
riverside,5,13,35,7
marks,5,18,36,7
pogopalooza,4,89,204,51
picoftheday,4,91,171,42
love,4,26,62,15
georgia,4,26,32,8
duval,4,111,179,44
instagood,4,63,123,30
townieweekend,4,13,29,7
dirty30,4,30,87,21
beer,4,28,85,21
904happyhour,4,37,94,23
nofilter,4,25,78,19
instajax,4,29,70,17
