wordlist,countlist,maxlike,totallike,avelike
kansascity,34,772,1876,55
kcmo,22,170,671,30
kc,17,42,239,14
igkansascity,12,170,559,46
love,9,174,414,46
instakc,8,170,318,39
missouri,7,25,106,15
firstfridays,6,120,172,28
reppinkc,6,32,110,18
ffkc,6,120,258,43
vscocam,6,77,170,28
mthjcs,6,40,161,26
art,5,20,83,16
kansascitymo,5,21,91,18
tbt,5,30,93,18
crossroadskc,5,14,50,10
benharper,5,18,54,10
graffiti,4,62,111,27
selfie,4,71,170,42
buts2,4,13,19,4
igkc,4,170,236,59
goodnight,4,42,90,22
kccrossroads,4,41,108,27
cute,4,44,131,32
photooftheday,4,41,102,25
downtownkc,3,19,49,16
downtown,3,19,49,16
kcartwork,3,19,49,16
streetart,3,19,49,16
📱🎬🎥,3,19,49,16
