wordlist,countlist,maxlike,totallike,avelike
littlerock,15,28,122,8
prestigeautodetail,11,8,52,4
prestigeautobrokersinc,11,8,52,4
bestinthecity,11,8,52,4
1419westparkdrsuita,11,8,52,4
comeseeme,11,8,52,4
theprofessionalautodetail,11,8,52,4
love,4,40,78,19
dm,4,34,92,23
me,4,34,93,23
appbreeze,3,25,58,19
selfie,3,52,77,25
photooftheday,3,25,58,19
tatuados,3,191,426,142
instattoo,3,191,426,142
inkedlife,3,191,426,142
tattoodlifestyle,3,191,426,142
bodymod,3,191,426,142
inkeup,3,191,426,142
tattoist,3,191,426,142
lovetattoos,3,191,426,142
tattoofamily,3,191,426,142
amotatuajes,3,191,426,142
inkfamily,3,191,426,142
ink,3,191,426,142
inkedandproud,3,191,426,142
vanityhype,3,191,426,142
skinart,3,191,426,142
inkandfit,3,191,426,142
boywithtatts,3,191,426,142
