wordlist,countlist,maxlike,totallike,avelike
losangeles,32,252,1664,52
dtla,26,252,1254,48
la,21,133,584,27
dodgers,12,150,436,36
love,8,478,809,101
art,7,69,161,23
california,7,133,276,39
downtown,6,63,223,37
music,5,42,93,18
itfdb,5,150,259,51
fashion,5,138,337,67
cute,5,138,190,38
instagood,5,138,313,62
downtownla,5,133,300,60
sundayfunday,4,3,4,1
lastory,4,252,392,98
selfie,4,126,168,42
dodgerstadium,4,38,114,28
architecture,4,252,390,97
graduation,4,395,519,129
fun,3,55,72,24
family,3,98,130,43
friends,3,143,229,76
makeup,3,24,42,14
catconla,3,435,441,147
일상,3,126,229,76
vscocam,3,115,129,43
design,3,55,67,22
me,3,22,45,15
igers,3,115,157,52
