wordlist,countlist,maxlike,totallike,avelike
louisville,9,82,161,17
carshow,5,3,14,2
cruise,5,3,14,2
lowrider,4,3,11,2
lowriders,4,3,11,2
coliseumband,4,9,34,8
coliseum,4,9,34,8
anxietyskiss,4,9,34,8
summer,2,11,16,8
sunday,2,15,20,10
kentucky,2,82,87,43
dudedate,2,45,64,32
birthday,2,11,13,6
uorexpo,2,244,264,132
uorexpo15,2,244,264,132
summeryooo,2,27,48,24
rogueintotheradar,2,27,48,24
travel,2,82,92,46
cute,2,10,16,8
goodnight,2,82,92,46
tbt,2,10,18,9
kids,2,82,88,44
myself,1,5,5,5
usa,1,5,5,5
uofl,1,5,5,5
cardinal,1,5,5,5
gocards,1,5,5,5
east,1,5,5,5
university,1,5,5,5
mcm,1,16,16,16
