wordlist,countlist,maxlike,totallike,avelike
craftbeer,5,22,76,15
beer,5,22,76,15
love,5,125,169,33
funny,4,125,165,41
friends,4,34,71,17
fitfam,4,82,188,47
fitspo,4,82,188,47
tattoo,4,80,186,46
fit,4,82,188,47
hair,4,26,61,15
newhampshire,4,26,62,15
instagood,3,125,150,50
jeep,3,17,47,15
beautiful,3,172,196,65
tattoolove,3,55,106,35
fitnessmotivation,3,55,106,35
fitme,3,55,106,35
blonde,3,55,106,35
tattooed,3,55,106,35
fitnessaddict,3,55,106,35
pretty,3,172,196,65
sunset,3,428,445,148
livefreeordie,3,16,31,10
selfie,3,82,128,42
fitness,3,82,168,56
vsco,3,172,247,82
vscocam,3,172,247,82
603,3,14,35,11
idrinkgoodbeer,3,22,49,16
dancemoms,2,27,35,17
