wordlist,countlist,maxlike,totallike,avelike
congratuslata,3,20,38,12
chegutta,3,20,38,12
memphis,2,24,26,13
heartbreakhotel,2,17,19,9
timiomax,2,103,152,76
maxtruck,2,103,152,76
rp,2,23,23,11
booth,2,13,18,9
nicekicks,2,261,520,260
kickstagram,2,261,520,260
complexkicks,2,261,520,260
igsneakerheadcommunity,2,261,520,260
igdaily,2,261,520,260
igsneakerheads,2,261,520,260
igsneakerhead,2,261,520,260
kicks,2,261,520,260
kotd,2,261,520,260
sneakerhead,2,261,520,260
kicks4eva,2,261,520,260
shoeporn,2,261,520,260
hypekickz,2,261,520,260
kicksonfire,2,261,520,260
peepmysneaks,2,261,520,260
walklikeus,2,261,520,260
igsneakercommunity,2,261,520,260
kicks0l0gy,2,261,520,260
sneakers,2,261,520,260
trustedkicks,2,261,520,260
instakicks,2,261,520,260
sneakerheads,2,261,520,260
