wordlist,countlist,maxlike,totallike,avelike
hummingbirch,16,5,20,1
bvgn,16,5,20,1
milwaukee,15,21,178,11
love,9,87,209,23
cudahy,9,11,18,2
mke,8,21,91,11
houseofmagick,8,3,7,0
family,7,12,37,5
tbt,6,114,183,30
pridefest,5,7,24,4
wisconsin,5,24,88,17
bayview,5,21,48,9
followforfollow,5,59,137,27
selfie,5,22,44,8
sugarskull,5,3,6,1
dance,4,7,17,4
happysunday,4,7,18,4
recital,4,7,18,4
dogsofinstagram,4,13,41,10
happy,4,21,50,12
goals,4,239,262,65
team,4,48,71,17
hitmaking,3,4,10,3
hitmnation,3,4,10,3
yass,3,4,10,3
dt,3,4,10,3
tumblr,3,9,19,6
hair,3,24,41,13
highlife,3,24,31,10
teambeard,3,14,26,8
