wordlist,countlist,maxlike,totallike,avelike
nofilter,27,56,493,18
olaplex,26,35,433,16
btcpics,26,35,433,16
ombre,26,35,433,16
lahair,26,35,433,16
burbank,26,35,430,16
btcapproved,26,35,433,16
modernsalon,26,35,433,16
blondehair,25,35,426,17
la,22,31,347,15
blonde,22,24,318,14
fancyhair,22,24,316,14
brunette,21,39,399,19
balayageombre,21,35,371,17
balayagehighlights,20,35,360,18
blowout,20,24,309,15
decielosalon,20,24,309,15
naturalhair,20,24,309,15
minnesota,18,176,743,41
minneapolis,16,105,571,35
balayage,15,24,244,16
highlights,15,24,243,16
longbob,15,24,232,15
vividcolors,15,24,243,16
beforeandafter,13,35,244,18
hairextensions,9,35,171,19
vscocam,8,156,734,91
fashion,7,156,627,89
love,7,176,322,46
minnehahafalls,7,30,139,19
