wordlist,countlist,maxlike,totallike,avelike
nyc,67,787,3382,50
newyork,26,602,1388,53
newyorkcity,14,143,540,38
love,12,90,498,41
manhattan,9,59,220,24
ny,8,334,576,72
angelbeats,7,173,1118,159
animearchives,7,173,1118,159
souleater,7,173,1118,159
blueexorcist,7,173,1118,159
snk,7,173,1118,159
dragonball,7,173,1118,159
hetalia,7,173,1118,159
finalfantasy,7,173,1118,159
aot,7,173,1118,159
clannad,7,173,1118,159
luffy,7,173,1118,159
tokyoghoul,7,173,1118,159
fullmetalalchemist,7,173,1118,159
vocaloid,7,173,1118,159
deathnote,7,173,1118,159
blackbutler,7,173,1118,159
swordartonline,7,173,1118,159
otaku,7,173,1118,159
animeotaku,7,173,1118,159
yugioh,7,173,1118,159
mlp,7,173,1118,159
anime,7,173,1118,159
natsu,7,173,1118,159
goku,7,173,1118,159
