wordlist,countlist,maxlike,totallike,avelike
instagood,11,82,357,32
newyork,11,82,427,38
nightlife,11,70,390,35
style,9,39,239,26
fashion,9,39,239,26
tagsforlikes,9,70,267,29
love,8,70,243,30
nyc,8,39,205,25
newjersey,7,82,292,41
party,7,70,248,35
dj,7,70,212,30
ddboyzent,7,54,241,34
birthdayboy,6,70,193,32
lifestyle,6,39,169,28
luxury,6,39,169,28
firstrepubliclounge,6,70,210,35
goodlifefridays,6,70,210,35
like4like,6,70,210,35
followme,6,70,210,35
girl,6,39,154,25
newark,5,177,345,69
dope,5,82,164,32
music,5,86,241,48
instaselfie,5,70,185,37
celebrities,5,70,185,37
goodlife,5,70,185,37
taurus,5,70,185,37
goodlifebrand,5,70,185,37
birthdaygirl,5,70,185,37
follow,5,70,185,37
