wordlist,countlist,maxlike,totallike,avelike
oklahoma,9,61,256,28
instarepost20,4,49,161,40
okc,3,61,85,28
instasize,3,16,32,10
art,3,20,54,18
repost,3,49,61,20
veterans,2,49,81,40
malemodel,2,61,92,46
instagay,2,51,82,41
model,2,61,92,46
photooftheday,2,31,51,25
prettyodd,2,5,9,4
brendonurie,2,5,9,4
ryanross,2,5,9,4
ryden,2,5,9,4
patd,2,5,9,4
panicatthedisco,2,5,9,4
arianagrande,2,9,13,6
gainpost,2,9,13,6
loveit,2,10,16,8
lipix,2,10,16,8
family,2,16,30,15
us,2,16,30,15
nintendo,2,18,30,15
livelife,2,12,23,11
lovelife,2,12,23,11
garageprinting,2,20,36,18
grind,2,20,36,18
405,2,20,36,18
artforthepeople,2,20,36,18
