wordlist,countlist,maxlike,totallike,avelike
omaha,26,42,283,10
iowa,23,33,412,17
councilbluffs,22,30,383,17
rockfestcb,21,30,392,18
rockfest,21,30,392,18
mariabrink,10,30,233,23
nebraska,8,35,83,10
flower,7,13,37,5
starset,7,16,86,12
starsetsociety,7,16,86,12
fsm612race,7,4,9,1
mariabrinkinspired,5,29,134,26
inthismoment,5,29,134,26
halestorm,5,30,102,20
jacobyshaddix,5,30,99,19
barberlife,4,158,312,78
yellowflower,4,5,13,3
crossfit,3,22,51,17
barberseye2015,3,42,102,34
freddysbarbershop,3,42,102,34
barberseye,3,158,278,92
dandelion,3,13,24,8
maroon5,3,75,168,56
instagood,3,80,159,53
music,3,11,25,8
santalucia,3,25,47,15
omahaoldmarket,3,4,10,3
omahadowntown,3,4,10,3
bettemidler,3,15,38,12
findaarron,3,1,1,0
