wordlist,countlist,maxlike,totallike,avelike
vanitygrand,11,6,32,2
vanitydolls,10,5,26,2
repostwhiz,9,18,58,6
for420lovers,8,24,135,16
potporn,8,24,135,16
weedwarriors,8,24,135,16
tokegreenonly,8,24,135,16
justblazeig,8,24,135,16
trustedtrees,8,24,135,16
planetkush,8,24,135,16
stankyydankyy,8,24,135,16
iwillmarrymary,8,24,135,16
bluntculture,8,24,135,16
smokechaingang,8,24,135,16
this420,8,24,135,16
lettucesmoke,8,24,135,16
mi_kush,8,24,135,16
smokesocial,8,24,135,16
rawlife,8,24,135,16
straingang,8,24,135,16
planet_cookie,8,24,135,16
fueledbythc,8,24,135,16
stonernation,8,24,135,16
topshelflife,8,24,135,16
spaceblunts,8,24,135,16
beautyofbuds,8,24,135,16
abudlife,8,24,135,16
growyourown,8,24,135,16
w420,8,24,135,16
thebongtokers,8,24,135,16
