wordlist,countlist,maxlike,totallike,avelike
phoenix,24,51,344,14
arizona,16,101,438,27
oneplexus,13,35,203,15
dtphx,7,51,173,24
dbacks,7,37,117,16
phx,6,26,93,15
az,6,30,102,17
firstfriday,5,42,132,26
cosplay,5,31,115,23
beplexus,5,18,41,8
lovelife,5,18,41,8
mothermother,5,22,80,16
crescentballroom,4,12,34,8
downtownphoenix,4,29,84,21
summer,4,30,75,18
tbt,4,19,45,11
plexusworldwide,4,35,104,26
plexusslim,4,35,101,25
plexus,4,35,101,25
vscocam,4,51,150,37
yoga,3,19,47,15
art,3,67,104,34
beer,3,12,25,8
datenight,3,52,93,31
repost,3,8,17,5
coach,3,19,56,18
proposito,3,19,56,18
puravida,3,19,56,18
clubpuravida,3,19,56,18
azdiamondbacks,3,52,93,31
