wordlist,countlist,maxlike,totallike,avelike
maine,18,81,367,20
love,10,206,447,44
portlandmaine,9,921,1750,194
portland,8,22,92,11
vsco,5,102,193,38
dogsofinstagram,5,921,1883,376
wwcommunity,5,11,30,6
weightwatchers,5,11,30,6
baseball,5,10,34,6
207,5,38,63,12
nbafinals,4,9,26,6
warriors,4,9,26,6
fun,4,62,108,27
vscocam,4,102,186,46
portlandseadogs,4,12,23,5
buzzfeedanimals,4,921,1664,416
animalsaddict,4,921,1864,466
bullyinstagram,4,921,1864,466
weeklyfluff,4,921,1864,466
yourdogstoday,4,921,1864,466
puppyofdayft,4,921,1864,466
bullyinstafeature,4,921,1864,466
dogcrushdaily,4,921,1864,466
dogscorner,4,921,1864,466
barkpack,4,921,1864,466
aplacetolovedogs,4,921,1864,466
dogsofficialdogs,4,921,1864,466
fluffypack,4,921,1864,466
summer,4,21,59,14
me,4,206,366,91
