wordlist,countlist,maxlike,totallike,avelike
pdx,35,175,1029,29
portland,21,175,796,37
pdxcarpet,20,48,444,22
oregon,19,175,735,38
tumblr,7,108,400,57
pnw,7,175,408,58
love,7,56,180,25
joetrohman,6,108,379,63
patrickstump,6,108,379,63
thankspete,6,108,379,63
brendonurie,6,108,379,63
bands,6,108,379,63
joshdun,6,108,379,63
aesthetic,6,108,379,63
petewentz,6,108,379,63
gerardway,6,108,379,63
jeremydavis,6,108,379,63
ptv,6,108,379,63
sws,6,108,379,63
tayloryork,6,108,379,63
yelyahwilliams,6,108,379,63
joshuadun,6,108,379,63
falloutboy,6,108,379,63
mychemicalromance,6,108,379,63
tylerjoseph,6,108,379,63
dallonweekes,6,108,379,63
hayleywilliams,6,108,379,63
edit,6,108,379,63
music,6,108,379,63
raytoro,6,108,379,63
