wordlist,countlist,maxlike,totallike,avelike
fitness,8,159,579,72
rhodeisland,5,67,164,32
eatclean,5,159,333,66
fitfam,4,159,379,94
fitlife,4,159,370,92
repost,4,1477,1546,386
healthy,4,56,193,48
vegetarian,4,56,174,43
happygirl,3,101,167,55
rideordie,3,4,7,2
family,3,4,8,2
motivation,3,159,321,107
fitgirls,3,159,321,107
fitspo,3,159,321,107
instagood,3,18,32,10
summertime,3,13,32,10
igers,3,28,56,18
ri,3,67,81,27
foodie,3,56,151,50
foodporn,3,56,128,42
food,3,56,151,50
vegan,3,56,151,50
bloggers,3,56,151,50
fit,3,159,270,90
foodblogg,3,56,151,50
wellness,3,56,151,50
vegansofig,3,56,151,50
health,3,56,151,50
veganfoodshare,3,56,151,50
recipes,3,56,151,50
