wordlist,countlist,maxlike,totallike,avelike
utah,23,261,1506,65
slc,18,261,1134,63
saltlakecity,13,164,596,45
sunset,13,261,1071,82
gaypride,9,80,219,24
clouds,8,261,758,94
slcairport,6,355,472,78
view,5,261,790,158
usa,5,132,257,51
love,5,81,157,31
sky,5,261,695,139
airport,5,99,187,37
prideweekend,5,13,50,10
mountains,5,261,724,144
travel,4,132,226,56
smile,4,124,193,48
happy,4,124,166,41
selfie,4,43,75,18
photooftheday,4,38,100,25
saltlake,4,132,195,48
slcpride,4,80,213,53
follow,4,25,67,16
nofilter,4,33,72,18
avgeek,4,342,384,96
summer,4,74,153,38
life,4,22,63,15
delta,3,69,119,39
weekend,3,72,133,44
girl,3,124,247,82
utahgram,3,52,87,29
