wordlist,countlist,maxlike,totallike,avelike
seattle,22,284,957,43
michaelclifford,13,35,309,23
ashtonirwin,13,35,309,23
lukehemmings,13,35,309,23
5secondsofsummer,13,35,309,23
music,13,35,299,23
5sos,13,35,309,23
calumhood,13,35,309,23
styles,11,35,273,24
liampayne,11,35,273,24
zayn,11,35,273,24
laurenjauregui,11,35,273,24
luke,11,35,273,24
camren,11,35,273,24
payne,11,35,273,24
calum,11,35,273,24
allybrooke,11,35,273,24
reflectiontour,11,35,273,24
niallhoran,11,35,273,24
liam,11,35,273,24
hemmings,11,35,273,24
5sosfam,11,35,273,24
onedirection,11,35,273,24
reflection,11,35,273,24
normanikordei,11,35,273,24
dinahjane,11,35,273,24
girls,11,35,273,24
1d,11,35,273,24
malik,11,35,273,24
camilacabello,11,35,273,24
