wordlist,countlist,maxlike,totallike,avelike
siouxfalls,24,64,335,13
dtsf,12,64,278,23
southdakota,11,64,162,14
love,8,148,317,39
art,6,34,146,24
fallspark,6,27,65,10
summer,6,87,148,24
zoo,6,64,95,15
ana,5,38,144,28
beautiful,5,87,164,32
hifromsd,5,7,24,4
family,5,40,78,15
yugioh,5,47,188,37
anime,5,47,188,37
cat,4,38,114,28
happy,4,40,99,24
beauty,4,110,186,46
yami,4,40,141,35
yamiyugi,4,40,141,35
like,3,40,76,25
nature,3,148,187,62
starve,3,38,104,34
americanhorrorstory,3,38,104,34
fat,3,38,104,34
mde,3,38,104,34
bvb,3,38,104,34
bmth,3,38,104,34
5secondsofsummer,3,38,104,34
skinny,3,38,104,34
help,3,38,104,34
