wordlist,countlist,maxlike,totallike,avelike
virginiabeach,24,231,814,33
vabeach,16,90,393,24
virginia,12,231,514,42
757,8,49,219,27
rylounge,8,49,239,29
benq,7,38,178,25
gamerguy,7,38,178,25
callofdutychamps,7,38,178,25
greenwall,7,38,178,25
optic,7,38,178,25
scufgaming,7,38,178,25
triggersquad,7,38,178,25
astro,7,38,178,25
controller,7,38,178,25
ranked,7,38,178,25
livestream,7,38,178,25
xboxone,7,38,178,25
nadeshot,7,38,178,25
astrogaming,7,38,178,25
mlg,7,38,178,25
setup,7,38,178,25
youtube,7,38,178,25
callofduty,7,38,178,25
xbox,7,38,178,25
umg,7,38,178,25
scuf,7,38,178,25
cod,7,38,178,25
elgato,7,38,178,25
egl,7,38,178,25
twitch,7,38,178,25
