wordlist,countlist,maxlike,totallike,avelike
dog,8,15,95,11
dodge,7,161,717,102
cars,7,161,722,103
mutt,6,14,69,11
lifted,6,161,714,119
lightbar,6,161,714,119
ledlights,6,161,714,119
truckporn,6,161,714,119
offroad,6,161,714,119
ford,6,161,714,119
mwcustoms,6,161,714,119
midwestcustoms,6,161,714,119
ledlightbars,6,161,714,119
trucks,6,161,714,119
gmc,6,161,714,119
diesel,6,161,714,119
chevy,6,161,714,119
alltrucksdaily,6,161,714,119
rollincoal,6,161,714,119
midwest,6,161,714,119
summer,6,59,131,21
kansas,5,53,132,26
instagood,4,80,175,43
determined,4,37,84,21
fitness,4,80,146,36
wichita,4,28,74,18
coco,3,12,33,11
runner,3,37,78,26
praisethelord,3,37,78,26
justgettinstarted,3,37,78,26
