wordlist,countlist,maxlike,totallike,avelike
beautiful,3,139,360,120
girlpower,3,139,360,120
badchick,3,139,360,120
babes,3,139,360,120
beauty,3,139,360,120
prettygang,3,139,360,120
diva,3,139,360,120
bblu,3,139,360,120
hottie,3,139,360,120
igbaddies,3,139,360,120
igbellas_,3,139,360,120
women,3,139,360,120
badbitcheslinkup,3,139,360,120
tagsforlikes,3,139,360,120
badchicks,3,139,360,120
prettygirl,3,139,360,120
shoutouts,3,139,360,120
thebadreport,3,139,360,120
onfleek,3,139,360,120
girls,3,139,360,120
prettygirls,3,139,360,120
fineassgirls,3,139,360,120
prettygirlsonly,3,139,360,120
bad,3,139,360,120
prettyonfleek,3,139,360,120
pretty,3,139,360,120
baddies,3,139,360,120
shoutout,3,139,360,120
teenrp,2,9,10,5
anyrp,2,9,10,5
